run_seed,generation,best_generation_fitness,avg_generation_fitness,worst_generation_fitness,best_global_fitness,best_global_individual
2,29,200099,3789833.112,22665234,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,30,200099,3749535.196,21769433,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,31,200099,3356119.386,20661385,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,32,200099,3597836.148,21267591,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,33,200099,3761614.122,21161005,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,34,200099,3834617.302,21541385,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,35,200099,3749077.394,22768233,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,36,200099,3267276.84,21661508,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,37,200099,3756222.554,24563234,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,38,200099,3837176.442,21587754,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,39,200099,3637030.858,22566189,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,40,200099,3709845.27,21131874,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,41,200099,3808191.71,21370276,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,42,200099,3957751.878,24060613,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,43,200099,3760813.748,22628194,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,44,200099,3340973.644,21788234,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,45,200099,3826411.346,21862493,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,46,200099,3483245.636,22968334,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,47,200099,3524454.258,23167135,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,48,200099,3778606.722,20744075,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,49,200099,3786235.27,22142005,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,50,200099,3945483.268,22031463,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,51,200099,4203003.088,20767307,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,52,200099,3825929.046,21370276,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,53,200099,3766586.11,22797334,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,54,200099,3960647.552,22363012,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,55,200099,3834548.91,22031463,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,56,200099,3671956.316,22469924,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,57,200099,4006502.536,22031463,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,58,200099,3485657.252,22467234,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,59,200099,3704344.898,22638207,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
